axil_09_63	1897570	196125981
axil_10_63	788948	78415130
axil_1115_43	3007409	315187385
axil_1116_43	1860419	199386163
axil_1117_43	2971296	319785089
axil_1120_43	331645	35629471
axil_11_63	1224221	123404178
axil_12_63	3221635	327362993
axil_14_63	2004845	209569601
axil_1935	1366955	140965607
axil_1936	587917	61744713
axil_1937	1451664	148182175
axil_1940	3476272	356896075
axil_1946	966278	92245217
P.axil1001	1479	122682
P.axil1002	2733608	225331089
P.axil1003	142359	11867839
P.axil1004	587820	49002826
P.axil1012	438064	36393349
P.axil1052	1027104	84278817
P.axil1053	1382329	114536877
P.axil1054	1669298	138223180
P.axil1056	1067485	87772264
P.axil1059	218903	17915480
P.axil1062	849951	70418328
P.axil1064	278362	23108134
P.axil1068	462239	38369417
P.axil1069	1091512	90920432
P.axil1070	205578	17061162
P.axil333	981564	81264705
P.axil334	2601015	215126279
P.axil335	919725	76157566
P.axil343	1080096	89813073
P.axil349	1821550	151433293
P.axil350	2016006	166662637
P.axil351	718301	58290645
P.axil352	214269	17465837
P.axil353	558656	45786980
P.axil354	1174366	95507323
P.axil366	133861	10786070
P.axil374	1235544	101734068
P.axil376	248546	20614890
P.axil377	306089	24937270
P.axil378	1502853	122362163
P.axil489	179502	14977019
P.axil490	1825480	149969450
P.axil491	1223217	99988590
P.axil494	579551	47534246
P.axil495	2321016	189924872
P.axil828	2954047	244022738
P.axil829	808573	67234928
P.axil830	1745891	144043705
P.axil831	1356545	112271177
P.axil832	2531354	209230107
P.axil914	395364	32637785
P.axil915	1920318	156521996
P.axil916	1611132	133146952
P.axil917	2522838	207385119
P.axil918	2916754	239288375
P.axil990	208297	17304871
P.axil991	388777	32038031
P.axil992	811282	67700259
P.axil993	1024359	84149512
P.axil994	2032815	167653460
